epoch,train_loss,val_loss,train_acc,val_acc,grad_norm,weight_norm,lr,loss_spike,step_time_sec
1,0.6817709151436301,0.6149862450222636,0.5058823529411764,0.8604651162790697,0.4808315026305245,5.833969374590849,0.003,0.0,0.0035200119018554688
2,0.5668200955671423,0.5108268607494443,0.9235294117647059,0.9418604651162791,0.5125355407729463,5.889019486681048,0.003,0.0,0.002711057662963867
3,0.4525139103917515,0.3954236909400585,0.9588235294117647,0.9186046511627907,0.5418924456032984,5.973685302751461,0.003,0.0,0.0028188228607177734
4,0.3362457654055427,0.28412933405055557,0.9647058823529412,0.9418604651162791,0.5456143626241214,6.085423072362683,0.003,0.0,0.002634763717651367
5,0.23005880082354827,0.19507082846275595,0.9647058823529412,0.9534883720930233,0.4554474963537678,6.21372903477366,0.003,0.0,0.002637147903442383
6,0.1516331829568919,0.1350395594571912,0.9764705882352941,0.9534883720930233,0.30497720074359713,6.35123698412174,0.003,0.0,0.0026187896728515625
7,0.10322761798606199,0.0985067181809004,0.9823529411764705,0.9767441860465116,0.21385009587832324,6.488048868607183,0.003,0.0,0.002566099166870117
8,0.07398589867002824,0.07717781323333119,0.9823529411764705,0.9767441860465116,0.17222941119607724,6.615394795503913,0.003,0.0,0.002675771713256836
9,0.05678813891375766,0.06460044177812199,0.9882352941176471,0.9767441860465116,0.11878859805051985,6.72771716276794,0.003,0.0,0.0029456615447998047
10,0.04509009254329345,0.058851222442679624,0.9882352941176471,0.9767441860465116,0.12036918860811689,6.827254037175355,0.003,0.0,0.002618074417114258
11,0.03661124522195143,0.0585763830431672,0.9882352941176471,0.9767441860465116,0.13033294671239493,6.910968944612925,0.003,0.0,0.002652883529663086
12,0.031955300271511076,0.062475553518810935,0.9882352941176471,0.9767441860465116,0.09038832119139277,6.982535941833297,0.003,0.0,0.002580881118774414
13,0.027705466900678242,0.06624401993183203,0.9882352941176471,0.9767441860465116,0.07939449262937616,7.043395066503137,0.003,0.0,0.0025658607482910156
14,0.025220173597335815,0.06969516901949117,0.9882352941176471,0.9418604651162791,0.07522297075801941,7.09807746716558,0.003,0.0,0.0025720596313476562
15,0.022263019707273034,0.06903959897368453,0.9882352941176471,0.9534883720930233,0.08120187120602397,7.145891796147577,0.003,0.0,0.0025942325592041016
16,0.019976223216337317,0.06731244341232055,0.9882352941176471,0.9534883720930233,0.08896068751254353,7.1886624162394765,0.003,0.0,0.002556324005126953
17,0.017117610858643755,0.06532054866642453,0.9941176470588236,0.9534883720930233,0.0922405759137158,7.228522044117164,0.003,0.0,0.002524852752685547
18,0.015145527533091166,0.06512878913172455,0.9941176470588236,0.9534883720930233,0.04409557461932138,7.265775612689012,0.003,0.0,0.0025548934936523438
19,0.013048762937679011,0.06363447357055753,0.9941176470588236,0.9534883720930233,0.08655942919877867,7.300162059356912,0.003,0.0,0.002613067626953125
20,0.011071541160345078,0.06441002672668113,1.0,0.9534883720930233,0.04607322883203379,7.333401521671018,0.003,0.0,0.0025610923767089844
21,0.010002820645732914,0.06480494137246941,1.0,0.9534883720930233,0.05450358986789863,7.365579096435933,0.003,0.0,0.002595186233520508
22,0.009169189325150321,0.06595440076794042,1.0,0.9534883720930233,0.05417069838258189,7.396691692867134,0.003,0.0,0.0025970935821533203
23,0.007905064052080408,0.06471778560689716,1.0,0.9534883720930233,0.04521606351701579,7.425805155843441,0.003,0.0,0.0025870800018310547
24,0.007034119514419752,0.06265213132597679,1.0,0.9534883720930233,0.06042335332878098,7.453758565957085,0.003,0.0,0.0025920867919921875
25,0.0062760836006525685,0.062406581501628075,1.0,0.9534883720930233,0.02862886780351863,7.4815454017439755,0.003,0.0,0.002549886703491211
26,0.005525689079042743,0.06183191373684378,1.0,0.9534883720930233,0.026684833524464834,7.508386716572744,0.003,0.0,0.0025701522827148438
27,0.004937110808404053,0.06121343850742939,1.0,0.9534883720930233,0.0384379824502623,7.533943928519479,0.003,0.0,0.0025942325592041016
28,0.004516525065307231,0.05984231999663766,1.0,0.9534883720930233,0.02695055799347948,7.558678328986616,0.003,0.0,0.002535104751586914
29,0.004060889410731547,0.059052609091321394,1.0,0.9534883720930233,0.022620229003056085,7.582365387107762,0.003,0.0,0.0025527477264404297
30,0.003660125897594673,0.05804209250870139,1.0,0.9534883720930233,0.016053467390052846,7.6043010127002395,0.003,0.0,0.0025479793548583984
